km,date,day,month,year,group,area
139.4,2/9/08,2,9,2008,nema,south
217.2,26/9/2008,26,9,2008,nema,south
137.1,6/10/08,6,10,2008,nema,south
225.2,29/10/2008,29,10,2008,nema,south
135.6,25/11/2008,25,11,2008,nema,south
217.7,26/11/2008,26,11,2008,nema,south
136.2,9/12/08,9,12,2008,nema,south
222.5,17/12/2008,17,12,2008,nema,south
136.2,9/1/09,9,1,2009,nema,south
219.5,22/1/2009,22,1,2009,nema,south
135.5,10/2/09,10,2,2009,nema,south
124,27/2/2009,27,2,2009,nema,south
136.5,25/3/2009,25,3,2009,nema,south
215.7,30/3/2009,30,3,2009,nema,south
133.2,24/4/2009,24,4,2009,nema,south
212.2,28/4/2009,28,4,2009,nema,south
134.1,21/5/2009,21,5,2009,nema,south
215.6,25/5/2009,25,5,2009,nema,south
134,9/6/09,9,6,2009,nema,south
216.1,26/6/2009,26,6,2009,nema,south
124.6,19/7/2009,19,7,2009,nema,south
212.9,27/7/2009,27,7,2009,nema,south
135,12/8/09,12,8,2009,nema,south
215.3,24/8/2009,24,8,2009,nema,south
107.9,14/9/2009,14,9,2009,nema,south
134.2,20/10/2009,20,10,2009,nema,south
210.1,29/10/2009,29,10,2009,nema,south
87.5,23/11/2009,23,11,2009,nema,south
217,9/12/09,9,12,2009,nema,south
136.7,29/12/2009,29,12,2009,nema,south
218.6,9/1/10,9,1,2010,nema,south
94.4,28/1/2010,28,1,2010,nema,south
217,9/2/10,9,2,2010,nema,south
132,27/2/2010,27,2,2010,nema,south
214.5,30/3/2010,30,3,2010,nema,south
133,31/3/2010,31,3,2010,nema,south
135,24/4/2010,24,4,2010,nema,south
215.7,29/4/2010,29,4,2010,nema,south
213,26/5/2010,26,5,2010,nema,south
141,28/5/2010,28,5,2010,nema,south
213.9,22/6/2010,22,6,2010,nema,south
133.3,30/6/2010,30,6,2010,nema,south
213,23/7/2010,23,7,2010,nema,south
109.6,27/7/2010,27,7,2010,nema,south
208,18/8/2010,18,8,2010,nema,south
133.7,27/8/2010,27,8,2010,nema,south
214,10/9/10,10,9,2010,nema,south
138.7,27/9/2010,27,9,2010,nema,south
213,6/10/10,6,10,2010,nema,south
103.9,20/10/2010,20,10,2010,nema,south
213,17/11/2010,17,11,2010,nema,south
90,24/11/2010,24,11,2010,nema,south
130,27/12/2010,27,12,2010,nema,south
75.7,28/12/2010,28,12,2010,nema,south
54.1,26/1/2011,26,1,2011,nema,south
150.1,31/1/2011,31,1,2011,nema,south
212.4,21/2/2011,21,2,2011,nema,south
85.5,23/2/2011,23,2,2011,nema,south
220.6,21/3/2011,21,3,2011,nema,south
134.8,23/3/2011,23,3,2011,nema,south
133.8,26/4/2011,26,4,2011,nema,south
227,27/4/2011,27,4,2011,nema,south
221,24/5/2011,24,5,2011,nema,south
140,31/5/2011,31,5,2011,nema,south
145.5,30/6/2011,30,6,2011,nema,south
61,1/7/11,1,7,2011,nema,south
221.7,20/7/2011,20,7,2011,nema,south
137.2,27/7/2011,27,7,2011,nema,south
220.4,12/8/11,12,8,2011,nema,south
135.3,24/8/2011,24,8,2011,nema,south
103.6,29/9/2011,29,9,2011,nema,south
225,29/9/2011,29,9,2011,nema,south
223.5,29/10/2011,29,10,2011,nema,south
134.2,31/10/2011,31,10,2011,nema,south
226.6,23/11/2011,23,11,2011,nema,south
130.9,25/11/2011,25,11,2011,nema,south
223,22/12/2011,22,12,2011,nema,south
133.1,29/12/2011,29,12,2011,nema,south
48.1,24/1/2012,24,1,2012,nema,south
91.1,31/1/2012,31,1,2012,nema,south
137,15/2/2012,15,2,2012,nema,south
64.1,17/2/2012,17,2,2012,nema,south
223.4,7/3/12,7,3,2012,nema,south
92.1,15/3/2012,15,3,2012,nema,south
134.9,13/4/2012,13,4,2012,nema,south
50,27/4/2012,27,4,2012,nema,south
137.2,9/5/12,9,5,2012,nema,south
63.1,28/5/2012,28,5,2012,nema,south
220,13/6/2012,13,6,2012,nema,south
137.3,20/6/2012,20,6,2012,nema,south
63.6,9/7/12,9,7,2012,nema,south
98.9,25/7/2012,25,7,2012,nema,south
50,15/8/2012,15,8,2012,nema,south
220,31/8/2012,31,8,2012,nema,south
47.2,12/9/12,12,9,2012,nema,south
64.1,29/9/2012,29,9,2012,nema,south
80,11/10/12,11,10,2012,nema,south
63.9,29/10/2012,29,10,2012,nema,south
64,19/11/2012,19,11,2012,nema,south
46.8,21/11/2012,21,11,2012,nema,south
224,5/12/12,5,12,2012,nema,south
18.5,12/12/12,12,12,2012,nema,south
48.4,10/1/13,10,1,2013,nema,south
63.4,16/1/2013,16,1,2013,nema,south
64,7/2/13,7,2,2013,nema,south
48.2,28/2/2013,28,2,2013,nema,south
135,6/3/13,6,3,2013,nema,south
63.3,26/3/2013,26,3,2013,nema,south
63.5,10/4/13,10,4,2013,nema,south
135,24/4/2013,24,4,2013,nema,south
63.1,15/5/2013,15,5,2013,nema,south
115,21/5/2013,21,5,2013,nema,south
63.7,11/6/13,11,6,2013,nema,south
133,15/7/2013,15,7,2013,nema,south
64,31/7/2013,31,7,2013,nema,south
63.1,19/8/2013,19,8,2013,nema,south
135.3,30/8/2013,30,8,2013,nema,south
214.6,6/9/13,6,9,2013,nema,south
131.9,13/9/2013,13,9,2013,nema,south
136,11/10/13,11,10,2013,nema,south
225,31/10/2013,31,10,2013,nema,south
223,18/11/2013,18,11,2013,nema,south
137,26/11/2013,26,11,2013,nema,south
126.8,13/12/2013,13,12,2013,nema,south
225.2,19/12/2013,19,12,2013,nema,south
222.5,7/1/14,7,1,2014,nema,south
136.5,28/1/2014,28,1,2014,nema,south
226.6,5/2/14,5,2,2014,nema,south
138.1,25/2/2014,25,2,2014,nema,south
107,21/3/2014,21,3,2014,nema,south
226.4,25/3/2014,25,3,2014,nema,south
138.8,4/4/14,4,4,2014,nema,south
224.9,17/4/2014,17,4,2014,nema,south
137.2,9/5/14,9,5,2014,nema,south
218.8,16/5/2014,16,5,2014,nema,south
137.2,6/6/14,6,6,2014,nema,south
221.5,17/6/2014,17,6,2014,nema,south
49,18/7/2014,18,7,2014,nema,south
223,28/7/2014,28,7,2014,nema,south
135,30/7/2014,30,7,2014,nema,south
135,12/8/14,12,8,2014,nema,south
220,19/8/2014,19,8,2014,nema,south
130,20/8/2014,20,8,2014,nema,south
225.6,16/9/2014,16,9,2014,nema,south
134.5,23/9/2014,23,9,2014,nema,south
130,14/10/2014,14,10,2014,nema,south
223,21/10/2014,21,10,2014,nema,south
221.6,7/11/14,7,11,2014,nema,south
222.8,5/12/14,5,12,2014,nema,south
224.6,16/12/2014,16,12,2014,nema,south
136.8,19/12/2014,19,12,2014,nema,south
137.8,24/12/2014,24,12,2014,nema,south
226.6,6/1/15,6,1,2015,nema,south
142.6,26/1/2015,26,1,2015,nema,south
231.9,27/1/2015,27,1,2015,nema,south
120,10/2/15,10,2,2015,nema,south
220,24/2/2015,24,2,2015,nema,south
220,10/3/15,10,3,2015,nema,south
98.6,13/3/2015,13,3,2015,nema,south
225,7/4/15,7,4,2015,nema,south
