spp,date,day,month,year,ccl,obs,area,geraci
Chelonia mydas,29/11/1997,29,11,1997,38,,south,
Chelonia mydas,29/11/1997,29,11,1997,41,,south,
Chelonia mydas,29/11/1997,29,11,1997,36,,south,
Chelonia mydas,4/12/97,4,12,1997,43,,south,
Chelonia mydas,19/12/1997,19,12,1997,42,,south,
Chelonia mydas,19/12/1997,19,12,1997,35,incrustada de algas e mariscos,south,
Chelonia mydas,19/12/1997,19,12,1997,45,,south,
Caretta caretta,19/12/1997,19,12,1997,79,,south,
Chelonia mydas,19/12/1997,19,12,1997,37.5,amostrada #1 e reintroduzida,south,
Caretta caretta,19/12/1997,19,12,1997,59,,south,
Chelonia mydas,19/12/1997,19,12,1997,36,com Balanus,south,
Chelonia mydas,19/12/1997,19,12,1997,40,amostrada #2 e reintroduzida,south,
Chelonia mydas,2/1/98,2,1,1998,38,,south,
Chelonia mydas,11/1/98,11,1,1998,35,,south,
Chelonia mydas,29/1/1998,29,1,1998,31,encrustada,south,
Caretta caretta,29/1/1998,29,1,1998,85,,south,
Caretta caretta,29/1/1998,29,1,1998,75,,south,
Chelonia mydas,29/1/1998,29,1,1998,40,,south,
Caretta caretta,29/1/1998,29,1,1998,90,,south,
Caretta caretta,26/2/1998,26,2,1998,74,,south,
Caretta caretta,26/2/1998,26,2,1998,62,,south,
Caretta caretta,26/2/1998,26,2,1998,82,,south,
Chelonia mydas,26/2/1998,26,2,1998,70,,south,
Caretta caretta,26/2/1998,26,2,1998,78,,south,
Chelonia mydas,26/2/1998,26,2,1998,42,,south,
Chelonia mydas,20/3/1998,20,3,1998,35,,south,
Chelonia mydas,20/3/1998,20,3,1998,39,,south,
Caretta caretta,20/3/1998,20,3,1998,86,,south,
Caretta caretta,20/3/1998,20,3,1998,68,,south,
Caretta caretta,20/3/1998,20,3,1998,51,,south,
Caretta caretta,29/4/1998,29,4,1998,77,,south,
Chelonia mydas,29/4/1998,29,4,1998,37,,south,
Chelonia mydas,13/5/1998,13,5,1998,57,,south,
Chelonia mydas,13/5/1998,13,5,1998,40,,south,
Caretta caretta,22/6/1998,22,6,1998,65,,south,
Caretta caretta,22/6/1998,22,6,1998,63,,south,
Caretta caretta,22/6/1998,22,6,1998,100,,south,
Caretta caretta,22/7/1998,22,7,1998,68,,south,
Chelonia mydas,22/7/1998,22,7,1998,39,,south,
Chelonia mydas,5/8/98,5,8,1998,,,south,
Chelonia mydas,5/8/98,5,8,1998,60,,south,
Chelonia mydas,12/8/98,12,8,1998,,,south,
Caretta caretta,2/9/98,2,9,1998,90,,south,
Chelonia mydas,8/9/98,8,9,1998,36,,south,
Caretta caretta,8/9/98,8,9,1998,70,,south,
Caretta caretta,11/9/98,11,9,1998,80,,south,
Chelonia mydas,12/9/98,12,9,1998,56,,south,
Chelonia mydas,12/9/98,12,9,1998,32,,south,
Caretta caretta,12/9/98,12,9,1998,89,,south,
Chelonia mydas,24/9/1998,24,9,1998,41,,south,
Chelonia mydas,24/9/1998,24,9,1998,34,com algas na carapaça,south,
Chelonia mydas,24/9/1998,24,9,1998,40,,south,
Chelonia mydas,24/9/1998,24,9,1998,39,,south,
Chelonia mydas,24/9/1998,24,9,1998,34,,south,
Chelonia mydas,24/9/1998,24,9,1998,34,com algas na carapaça,south,
Chelonia mydas,29/10/1998,29,10,1998,38,,south,
Chelonia mydas,29/10/1998,29,10,1998,38,,south,
Caretta caretta,29/10/1998,29,10,1998,77,,south,
Chelonia mydas,29/10/1998,29,10,1998,40,Registrada em 08/10/98 - Cassino - visitantes,south,
Caretta caretta,15/11/1998,15,11,1998,75,,south,
Caretta caretta,20/11/1998,20,11,1998,74,,south,
